structure, operation, time(ns)
veb, put, 5258021
veb, delete, 16090
bst, put, 330712
bst, delete, 166968
avl, put, 41479278
avl, delete, 14900445
splay, put, 773343
splay, delete, 923141
veb, put, 5674514
veb, delete, 15619
bst, put, 247126
bst, delete, 155474
avl, put, 38038656
avl, delete, 9725506
splay, put, 742055
splay, delete, 900764
veb, put, 5839082
veb, delete, 25773
bst, put, 296565
bst, delete, 160165
avl, put, 39064742
avl, delete, 10999710
splay, put, 726701
splay, delete, 760532
veb, put, 5430266
veb, delete, 16342
bst, put, 257001
bst, delete, 115656
avl, put, 37963478
avl, delete, 17953175
splay, put, 746626
splay, delete, 905146
veb, put, 5379214
veb, delete, 25439
bst, put, 301416
bst, delete, 144822
avl, put, 38492021
avl, delete, 12774027
splay, put, 642444
splay, delete, 821276
veb, put, 5262049
veb, delete, 25082
bst, put, 294014
bst, delete, 191736
avl, put, 38683888
avl, delete, 12830894
splay, put, 629840
splay, delete, 771001
veb, put, 5454507
veb, delete, 20720
bst, put, 316100
bst, delete, 139362
avl, put, 39377584
avl, delete, 12394078
splay, put, 731315
splay, delete, 889313
veb, put, 5650493
veb, delete, 18621
bst, put, 298596
bst, delete, 148424
avl, put, 40197405
avl, delete, 13487588
splay, put, 619438
splay, delete, 787319
veb, put, 10434812
veb, delete, 24872
bst, put, 307876
bst, delete, 220082
avl, put, 40734409
avl, delete, 14416445
splay, put, 755093
splay, delete, 832268
veb, put, 5343115
veb, delete, 29421
bst, put, 308882
bst, delete, 152523
avl, put, 38887945
avl, delete, 18173170
splay, put, 632826
splay, delete, 775989
veb, put, 5570173
veb, delete, 34541
bst, put, 296603
bst, delete, 151714
avl, put, 37554016
avl, delete, 14043765
splay, put, 716363
splay, delete, 785090
veb, put, 5504185
veb, delete, 22513
bst, put, 254721
bst, delete, 81596
avl, put, 36986798
avl, delete, 12056400
splay, put, 778410
splay, delete, 1120844
veb, put, 6078574
veb, delete, 23257
bst, put, 324712
bst, delete, 104076
avl, put, 38779228
avl, delete, 8577863
splay, put, 642151
splay, delete, 904637
veb, put, 5895724
veb, delete, 25325
bst, put, 242180
bst, delete, 153393
avl, put, 41501790
avl, delete, 16646165
splay, put, 639388
splay, delete, 812134
veb, put, 5671527
veb, delete, 29144
bst, put, 276344
bst, delete, 162259
avl, put, 40561341
avl, delete, 11674103
splay, put, 766789
splay, delete, 815798
veb, put, 5561074
veb, delete, 28263
bst, put, 322010
bst, delete, 147713
avl, put, 37075685
avl, delete, 16748351
splay, put, 624186
splay, delete, 771101
veb, put, 5483360
veb, delete, 16100
