structure, size, time(ns)
avl, 2^6, 51753
avl, 2^7, 59399
avl, 2^8, 80977
avl, 2^9, 78072
splay, 2^6, 246218
splay, 2^7, 295516
splay, 2^8, 329239
splay, 2^9, 349874
veb, 2^6, 1448119
veb, 2^7, 1662545
veb, 2^8, 1596664
veb, 2^9, 1751786
bst, 2^6, 55407
bst, 2^7, 63733
bst, 2^8, 74259
bst, 2^9, 85592
avl, 2^6, 51534
avl, 2^7, 58960
avl, 2^8, 67827
avl, 2^9, 93737
splay, 2^6, 288298
splay, 2^7, 293963
splay, 2^8, 331704
splay, 2^9, 357490
veb, 2^6, 1446833
veb, 2^7, 1765003
veb, 2^8, 1757223
veb, 2^9, 1866011
bst, 2^6, 55678
bst, 2^7, 63699
bst, 2^8, 74386
bst, 2^9, 85367
avl, 2^6, 50153
avl, 2^7, 57975
avl, 2^8, 67862
avl, 2^9, 91963
splay, 2^6, 296175
splay, 2^7, 340332
splay, 2^8, 329686
splay, 2^9, 352332
veb, 2^6, 1448480
veb, 2^7, 1500334
veb, 2^8, 1629388
veb, 2^9, 1908979
bst, 2^6, 73537
bst, 2^7, 63046
bst, 2^8, 74704
bst, 2^9, 84347
avl, 2^6, 57150
avl, 2^7, 64920
avl, 2^8, 67638
avl, 2^9, 77217
splay, 2^6, 248089
splay, 2^7, 294762
splay, 2^8, 336288
splay, 2^9, 417328
veb, 2^6, 1496296
veb, 2^7, 1648680
veb, 2^8, 1772635
veb, 2^9, 1689969
bst, 2^6, 55192
bst, 2^7, 75867
bst, 2^8, 87110
bst, 2^9, 99843
avl, 2^6, 63253
avl, 2^7, 68904
avl, 2^8, 67300
avl, 2^9, 77068
splay, 2^6, 295641
splay, 2^7, 345397
splay, 2^8, 380530
splay, 2^9, 384495
veb, 2^6, 1543068
veb, 2^7, 1502419
veb, 2^8, 1770646
veb, 2^9, 1860330
bst, 2^6, 54936
bst, 2^7, 62449
bst, 2^8, 72709
bst, 2^9, 83658
avl, 2^6, 53593
avl, 2^7, 58695
avl, 2^8, 80609
avl, 2^9, 77642
splay, 2^6, 249015
splay, 2^7, 293687
splay, 2^8, 327747
splay, 2^9, 352334
veb, 2^6, 1533780
veb, 2^7, 1519319
veb, 2^8, 1690776
veb, 2^9, 1688993
bst, 2^6, 56391
bst, 2^7, 64739
bst, 2^8, 75207
bst, 2^9, 85982
avl, 2^6, 51877
avl, 2^7, 59023
avl, 2^8, 67360
avl, 2^9, 77973
splay, 2^6, 246921
splay, 2^7, 294634
splay, 2^8, 334216
splay, 2^9, 403629
veb, 2^6, 1525936
veb, 2^7, 1671770
veb, 2^8, 1590279
veb, 2^9, 1797686
bst, 2^6, 56687
bst, 2^7, 65541
bst, 2^8, 77934
bst, 2^9, 107748
avl, 2^6, 62298
avl, 2^7, 72306
avl, 2^8, 68317
avl, 2^9, 92288
splay, 2^6, 336148
splay, 2^7, 329556
splay, 2^8, 331632
splay, 2^9, 359090
veb, 2^6, 1445001
veb, 2^7, 1592889
veb, 2^8, 1726784
veb, 2^9, 1860156
bst, 2^6, 56575
bst, 2^7, 65629
bst, 2^8, 76234
bst, 2^9, 87180
avl, 2^6, 51655
avl, 2^7, 58592
avl, 2^8, 66872
avl, 2^9, 78433
splay, 2^6, 247200
