structure, operation, time(ns)
veb, put, 1268552
veb, delete, 1843730
bst, put, 1141048
bst, delete, 5317
avl, put, 1369753
avl, delete, 1486899
splay, put, 12118
splay, delete, 35008
veb, put, 1439751
veb, delete, 2026456
bst, put, 1027764
bst, delete, 4495
avl, put, 1338516
avl, delete, 1472252
splay, put, 16729
splay, delete, 34975
veb, put, 1273898
veb, delete, 1995182
bst, put, 1019451
bst, delete, 6489
avl, put, 1476092
avl, delete, 1304930
splay, put, 11463
splay, delete, 34577
veb, put, 1268001
veb, delete, 2006856
bst, put, 1013179
bst, delete, 4541
avl, put, 1339920
avl, delete, 1330073
splay, put, 13410
splay, delete, 41695
veb, put, 1408557
veb, delete, 1842617
bst, put, 1145612
bst, delete, 6083
avl, put, 1499683
avl, delete, 1455563
splay, put, 11576
splay, delete, 35283
veb, put, 1266929
veb, delete, 1937892
bst, put, 1088170
bst, delete, 4580
avl, put, 1343811
avl, delete, 1367002
splay, put, 13091
splay, delete, 40872
veb, put, 1497925
veb, delete, 1877528
bst, put, 1002888
bst, delete, 4476
avl, put, 1410302
avl, delete, 1428199
splay, put, 11244
splay, delete, 34643
veb, put, 1268396
veb, delete, 1988673
bst, put, 1151534
bst, delete, 5324
avl, put, 1412038
avl, delete, 1430095
splay, put, 11295
splay, delete, 34778
veb, put, 1442620
veb, delete, 2001905
bst, put, 1014601
bst, delete, 4500
avl, put, 1471775
avl, delete, 1480203
splay, put, 13290
splay, delete, 43843
veb, put, 1361012
veb, delete, 1919555
bst, put, 1043054
bst, delete, 5340
avl, put, 1483436
avl, delete, 1424618
splay, put, 13442
splay, delete, 42490
veb, put, 1496920
veb, delete, 2011101
bst, put, 1034663
bst, delete, 4440
avl, put, 1300769
avl, delete, 1296365
splay, put, 13492
splay, delete, 41943
veb, put, 1425275
veb, delete, 2148403
bst, put, 1034637
bst, delete, 4469
avl, put, 1502872
avl, delete, 1313960
splay, put, 11353
splay, delete, 35238
veb, put, 1266115
veb, delete, 2121026
bst, put, 1219161
bst, delete, 5303
avl, put, 1599011
avl, delete, 1592996
splay, put, 13136
splay, delete, 41905
veb, put, 1507279
veb, delete, 2207272
bst, put, 1421602
bst, delete, 6188
avl, put, 1913922
avl, delete, 1777664
splay, put, 14087
splay, delete, 44535
veb, put, 1519022
veb, delete, 2218580
